year,city,avg_temp,Global Temprature,,Years,avg_temp_cairo,Cairo Temprature,,difference
1808,Cairo,7.63,7.203,7.203,1808-1817,17.11,20.047,,12.844
1809,Cairo,7.08,8.093,8.093,1818-1827,19.87,19.956,,11.863
1810,Cairo,6.92,7.835,7.835,1828-1837,19.93,20.64,,12.805
1811,Cairo,6.86,7.896,,1838-1847,20,20.809,,12.913
1812,Cairo,7.05,8.026,8.026,1848-1857,19.93,20.842,,12.816
1813,Cairo,7.74,8.072,,1858-1867,20.51,20.984,,12.912
1814,Cairo,7.59,8.245,,1868-1877,20.43,21.026,,12.781
1815,Cairo,7.24,8.105,8.105,1878-1887,20.3,20.972,,12.867
1816,Cairo,6.94,8.134,,1888-1897,20.51,21.018,,12.884
1817,Cairo,6.98,8.279,,1898-1907,21.88,21.05,,12.771
1818,Cairo,7.83,8.267,,1908-1917,11.6,20.977,,12.71
1819,Cairo,7.37,8.456,,1918-1927,20.31,21.305,,12.849
1820,Cairo,7.62,8.567,,1928-1937,20.58,21.574,,13.007
1821,Cairo,8.09,8.755,,1938-1947,20.63,21.499,,12.744
1822,Cairo,8.19,8.605,,1948-1957,20.72,21.452,,12.847
1823,Cairo,7.72,8.673,,1958-1967,20.71,21.608,,12.935
1824,Cairo,8.55,8.628,,1968-1977,21.44,21.504,,12.876
1825,Cairo,8.39,8.841,,1978-1987,21,21.426,,12.585
1826,Cairo,8.36,9.087,,1988-1997,20.94,21.614,,12.527
1827,Cairo,8.81,9.505,,1998-2007,21.63,22.369375,,12.864375
1828,Cairo,8.17,9.546666667,,2008-2013,20.99,22.72833333,,12.864375
1829,Cairo,7.94,,,,20.91,,,12.7745119
1830,Cairo,8.52,,,,21.25,,,
1831,Cairo,7.64,,,,20.52,,,
1832,Cairo,7.45,,,,20.2,,,
1833,Cairo,8.01,,,,20.81,,,
1834,Cairo,8.15,,,,20.69,,,
1835,Cairo,7.39,,,,20.17,,,
1836,Cairo,7.7,,,,20.59,,,
1837,Cairo,7.38,,,,20.27,,,
1838,Cairo,7.51,,,,20.21,,,
1839,Cairo,7.63,,,,20.43,,,
1840,Cairo,7.8,,,,20.56,,,
1841,Cairo,7.69,,,,20.91,,,
1842,Cairo,8.02,,,,20.92,,,
1843,Cairo,8.17,,,,20.83,,,
1844,Cairo,7.65,,,,20.66,,,
1845,Cairo,7.85,,,,20.9,,,
1846,Cairo,8.55,,,,21.57,,,
1847,Cairo,8.09,,,,21.1,,,
1848,Cairo,7.98,,,,20.89,,,
1849,Cairo,7.98,,,,20.9,,,
1850,Cairo,7.9,,,,20.39,,,
1851,Cairo,8.18,,,,21.11,,,
1852,Cairo,8.1,,,,21.04,,,
1853,Cairo,8.04,,,,21.53,,,
1854,Cairo,8.21,,,,20.74,,,
1855,Cairo,8.11,,,,21.04,,,
1856,Cairo,8,,,,20.49,,,
1857,Cairo,7.76,,,,20.29,,,
1858,Cairo,8.1,,,,20.9,,,
1859,Cairo,8.25,,,,20.98,,,
1860,Cairo,7.96,,,,21.33,,,
1861,Cairo,7.85,,,,20.21,,,
1862,Cairo,7.56,,,,20.22,,,
1863,Cairo,8.11,,,,20.6,,,
1864,Cairo,7.98,,,,21.25,,,
1865,Cairo,8.18,,,,21.55,,,
1866,Cairo,8.29,,,,21.35,,,
1867,Cairo,8.44,,,,21.45,,,
1868,Cairo,8.25,,,,20.94,,,
1869,Cairo,8.43,,,,21.41,,,
1870,Cairo,8.2,,,,21.3,,,
1871,Cairo,8.12,,,,20.87,,,8.245
1872,Cairo,8.19,,,,21.14,,,
1873,Cairo,8.35,,,,21.4,,,
1874,Cairo,8.43,,,,20.77,,,
1875,Cairo,7.86,,,,19.99,,,
1876,Cairo,8.08,,,,21.05,,,
1877,Cairo,8.54,,,,21.39,,,
1878,Cairo,8.83,,,,21.54,,,
1879,Cairo,8.17,,,,21.49,,,
1880,Cairo,8.12,,,,21.2,,,
1881,Cairo,8.27,,,,21.56,,,
1882,Cairo,8.13,,,,20.38,,,
1883,Cairo,7.98,,,,20.65,,,
1884,Cairo,7.77,,,,20.23,,,
1885,Cairo,7.92,,,,20.91,,,
1886,Cairo,7.95,,,,20.55,,,
1887,Cairo,7.91,,,,21.21,,,
